STATE,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,NONELSEC,TCAPOUT
Alabama,ATTALLA CITY SCHOOL DISTRICT,2015,15554,1967,10600,2987,15348,14713,8708,4821,1184,235,49
Alabama,ETOWAH COUNTY BOARD OF EDUCATION,2015,77297,7451,52681,17165,89861,72224,41691,24457,6076,1248,14147
Alabama,GADSDEN CITY SCHOOL DISTRICT,2015,52204,8740,29593,13871,51606,48902,27912,17077,3913,1730,123
Alabama,FAYETTE COUNTY SCHOOL DISTRICT,2015,22304,2646,14377,5281,22088,21147,11589,7723,1835,698,125
Alabama,FRANKLIN COUNTY SCHOOL DISTRICT,2015,34213,4011,21308,8894,34957,30627,17673,9814,3140,1413,2223
Alabama,RUSSELLVILLE CITY SCHOOLS,2015,25713,3234,15411,7068,25430,23592,13955,7358,2279,402,554
Alabama,GENEVA COUNTY SCHOOL DISTRICT,2015,27741,3395,19745,4601,29130,23307,13416,7895,1996,462,5117
Alabama,GENEVA CITY SCHOOL DISTRICT,2015,11762,1272,7656,2834,12194,10881,6569,3576,736,206,1025
Alabama,GREENE COUNTY SCHOOL DISTRICT,2015,14237,2303,7543,4391,15611,12804,5833,6034,937,23,2332
Alabama,HALE COUNTY SCHOOL DISTRICT,2015,32913,3524,18005,11384,33405,25814,14752,9130,1932,419,6509
Alabama,HENRY COUNTY SCHOOL DISTRICT,2015,23502,2813,15475,5214,23137,21548,12350,7543,1655,338,481
Alabama,DOTHAN CITY SCHOOL DISTRICT,2015,85739,12596,49432,23711,87309,84314,50987,26854,6473,1043,1436
Alabama,HOUSTON COUNTY SCHOOL DISTRICT,2015,57082,6102,34049,16931,57595,53155,30949,18053,4153,473,3143
Alabama,JACKSON COUNTY SCHOOL DISTRICT,2015,57859,7328,35590,14941,69835,53317,27946,20896,4475,850,14944
Alabama,SCOTTSBORO CITY SCHOOL DISTRICT,2015,27316,2089,15250,9977,26758,24246,13694,8778,1774,486,399
Alabama,BESSEMER CITY SCHOOL DISTRICT,2015,41526,7966,21786,11774,41425,39607,20883,15065,3659,779,313
Alabama,BIRMINGHAM CITY SCHOOL DISTRICT,2015,261521,42313,126253,92955,269925,248134,133794,97162,17178,5697,12351
Alabama,FAIRFIELD CITY SCHOOL DISTRICT,2015,17948,2894,11032,4022,19389,17849,9382,6834,1633,116,1304
Alabama,JEFFERSON COUNTY BOARD OF EDUCATION,2015,340135,31503,199125,109507,337015,316560,181620,110944,23996,4504,12889
Alabama,TARRANT CITY SCHOOL DISTRICT,2015,12184,2264,6641,3279,12637,12015,5650,5273,1092,464,76
Alabama,LEEDS CITY SCHOOL DISTRICT,2015,20502,1542,10236,8724,19328,16288,9501,5740,1047,251,381
Alabama,TRUSSVILLE CITY SCHOOL DISTRICT,2015,48482,944,22417,25121,53052,40948,22708,15816,2424,927,10713
Alabama,HOOVER CITY SCHOOL DISTRICT,2015,163058,6249,69931,86878,162449,149703,91173,50252,8278,4037,710
Alabama,MOUNTAIN BROOK SCHOOLS,2015,58555,861,19828,37866,57728,54977,34772,18090,2115,1473,735
Alabama,HOMEWOOD CITY SCHOOL DISTRICT,2015,50416,2107,16857,31452,48670,45457,29048,14218,2191,1153,758
Alabama,MIDFIELD CITY SCHOOL DISTRICT,2015,12299,2786,6992,2521,12880,11824,5573,5105,1146,238,785
Alabama,VESTAVIA HILLS CITY SCHOOL DISTRICT,2015,80230,1788,32671,45771,80803,70845,44850,22827,3168,1829,7305
Alabama,LAMAR COUNTY SCHOOL DISTRICT,2015,22002,2551,14545,4906,21571,19930,10804,7291,1835,530,782
Alabama,FLORENCE CITY SCHOOL DISTRICT,2015,51582,4961,23400,23221,52721,46579,27189,16694,2696,437,3973
Alabama,LAUDERDALE COUNTY SCHOOL DISTRICT,2015,76129,6177,48004,21948,76333,72875,45274,22531,5070,1105,2270
Alabama,LAWRENCE COUNTY SCHOOL DISTRICT,2015,51731,5145,32811,13775,51278,45090,25416,16091,3583,705,4552
Alabama,LEE COUNTY SCHOOL DISTRICT,2015,92732,7153,55529,30050,91484,86127,51648,28815,5664,1163,1942
Alabama,OPELIKA CITY SCHOOLS,2015,46374,4737,22542,19095,47597,43283,26141,14133,3009,1036,2765
Alabama,AUBURN CITY SCHOOL DISTRICT,2015,93437,4193,39737,49507,87511,72117,42360,26155,3602,1647,10667
Alabama,ATHENS CITY SCHOOL DISTRICT,2015,38308,3007,17796,17505,38210,35925,21348,12320,2257,527,629
Alabama,LIMESTONE COUNTY SCHOOL DISTRICT,2015,87867,8052,53188,26627,103961,83507,49602,28068,5837,1019,16628
Alabama,LOWNDES COUNTY SCHOOL DISTRICT,2015,23688,8021,11294,4373,23179,21797,10678,9379,1740,541,353
Alabama,MACON COUNTY SCHOOL DISTRICT,2015,25048,5034,15077,4937,26763,24367,11266,11128,1973,199,890
Alabama,HUNTSVILLE CITY SCHOOL DISTRICT,2015,269929,24912,114620,130397,337337,245475,137851,96032,11592,3543,76832
Alabama,MADISON COUNTY SCHOOL DISTRICT,2015,181672,12171,109659,59842,180927,163264,95495,56422,11347,3864,5987
Alabama,MADISON CITY SCHOOL DISTRICT,2015,103675,4823,54347,44505,114965,90655,52438,33881,4336,925,18116
Alabama,DEMOPOLIS CITY SCHOOL DISTRICT,2015,20093,2151,12741,5201,21652,19189,11810,6034,1345,560,1812
Alabama,MARENGO COUNTY SCHOOL DISTRICT,2015,12300,1449,7741,3110,11957,11217,5852,4469,896,97,10
Alabama,LINDEN CITY SCHOOL DISTRICT,2015,5258,754,3373,1131,5107,4969,2568,1911,490,112,0
Alabama,MARION COUNTY SCHOOL DISTRICT,2015,37784,8097,22428,7259,36757,29549,17771,9717,2061,629,6479
Alabama,WINFIELD CITY SCHOOL DISTRICT,2015,12929,1251,7783,3895,14413,11520,6994,3633,893,392,2387
Alabama,MARSHALL COUNTY SCHOOL DISTRICT,2015,55501,7150,35103,13248,58489,52847,27679,20516,4652,1247,3898
Alabama,BOAZ CITY SCHOOL DISTRICT,2015,22055,2307,12949,6799,22697,21040,11533,7701,1806,463,697
Alabama,ALBERTVILLE CITY SCHOOL DISTRICT,2015,45519,6299,26717,12503,47513,40095,22763,13978,3354,796,4814
Alabama,ARAB CITY SCHOOL DISTRICT,2015,23338,1489,15063,6786,25150,23281,14757,7089,1435,361,1414
Alabama,GUNTERSVILLE CITY SCHOOL DISTRICT,2015,19208,1644,10717,6847,19728,18267,10461,6371,1435,586,697
Alabama,MOBILE COUNTY SCHOOL DISTRICT,2015,557750,77933,311409,168408,589223,522689,276099,204800,41790,4244,48089
Alabama,SARALAND CITY SCHOOLS,2015,27213,2014,14558,10641,27222,22328,12334,8517,1477,296,1783
Alabama,CHICKASAW CITY SCHOOLS,2015,8561,1478,5164,1919,8526,7930,4455,2860,615,184,355
Alabama,SATSUMA CITY SCHOOL DISTRICT,2015,12502,1159,7320,4023,13522,11498,5999,4844,655,44,1903
Alabama,MONROE COUNTY SCHOOL DISTRICT,2015,34266,4635,20919,8712,34470,32337,18545,11373,2419,356,1691
Alabama,MONTGOMERY COUNTY SCHOOL DISTRICT,2015,288198,38737,172033,77428,282459,268902,151537,95865,21500,2391,8489
Alabama,DECATUR CITY SCHOOL DISTRICT,2015,96625,8846,46085,41694,95519,85380,53260,26903,5217,1176,5150
Alabama,MORGAN COUNTY SCHOOL DISTRICT,2015,78436,6116,41533,30787,93979,70692,38886,25781,6025,962,20341
Alabama,HARTSELLE CITY SCHOOL DISTRICT,2015,30583,1619,17852,11112,29922,28257,17540,9297,1420,296,588
Alabama,PERRY COUNTY SCHOOL DISTRICT,2015,17242,3647,10775,2820,16360,15517,8592,5389,1536,419,110
Alabama,PICKENS COUNTY SCHOOL DISTRICT,2015,26577,3680,17282,5615,25707,24590,13904,8894,1792,466,589
Alabama,PIKE COUNTY SCHOOL DISTRICT,2015,23313,3601,13487,6225,23349,22472,11599,9205,1668,316,88
Alabama,TROY CITY SCHOOL DISTRICT,2015,18981,2204,10449,6328,19410,17931,11230,5387,1314,255,46
Alabama,RANDOLPH COUNTY SCHOOL DISTRICT,2015,21000,2310,12973,5717,20918,20099,11650,7089,1360,278,424
Alabama,ROANOKE CITY SCHOOL DISTRICT,2015,13475,1645,8776,3054,13735,12901,7908,4095,898,282,398
Alabama,PHENIX CITY SCHOOL DISTRICT,2015,65941,6960,41171,17810,67290,60130,34280,21363,4487,920,3568
Alabama,RUSSELL COUNTY SCHOOL DISTRICT,2015,33428,4122,21494,7812,32229,30019,16329,10901,2789,400,818
Alabama,ST CLAIR COUNTY SCHOOL DISTRICT,2015,77477,7199,50786,19492,78439,71902,43265,22863,5774,2310,2721
Alabama,PELL CITY SCHOOL DISTRICT,2015,38169,4188,23541,10440,38890,34555,20352,11639,2564,304,1642
Alabama,SHELBY COUNTY SCHOOL DISTRICT,2015,203191,11917,107012,84262,212570,188925,108107,69921,10897,5044,9449
Alabama,SUMTER COUNTY SCHOOL DISTRICT,2015,19125,3486,11365,4274,19737,17788,8603,7687,1498,416,700
Alabama,SYLACAUGA CITY SCHOOL DISTRICT,2015,29266,2516,13653,13097,28654,22332,13078,7768,1486,287,5921
Alabama,TALLADEGA CITY SCHOOL DISTRICT,2015,21391,2898,13724,4769,21652,21032,11970,7297,1765,221,376
Alabama,TALLADEGA COUNTY SCHOOL DISTRICT,2015,76599,8172,43663,24764,75339,69496,35322,28522,5652,983,3088
Alabama,TALLAPOOSA COUNTY SCHOOL DISTRICT,2015,27862,3260,15181,9421,27437,25560,14593,8807,2160,530,787
Alabama,ALEXANDER CITY SCHOOL DISTRICT,2015,29818,3227,16675,9916,28002,26762,16694,8562,1506,557,313
Alabama,TUSCALOOSA CITY SCHOOL DISTRICT,2015,129093,22968,49325,56800,121049,107093,56745,42986,7362,1750,11101
Alabama,TUSCALOOSA COUNTY SCHOOL DISTRICT,2015,179442,14891,101145,63406,167800,157002,90316,53830,12856,2414,6881
Alabama,JASPER CITY SCHOOL DISTRICT,2015,27406,2320,14784,10302,27826,26116,16206,8261,1649,599,1038
Alabama,WALKER COUNTY SCHOOL DISTRICT,2015,78021,9961,44647,23413,78551,72441,40819,26861,4761,1077,3633
Alabama,WASHINGTON COUNTY SCHOOL DISTRICT,2015,28330,3730,16532,8068,28044,26782,16008,8803,1971,1041,27
Alabama,WILCOX COUNTY SCHOOL DISTRICT,2015,19533,3778,11738,4017,19860,18734,9519,7478,1737,96,291
Alabama,WINSTON COUNTY SCHOOL DISTRICT,2015,26211,2866,15467,7878,28370,26814,12374,12354,2086,465,750
Alabama,HALEYVILLE CITY SCHOOL DISTRICT,2015,16253,1737,9867,4649,16300,15442,9210,4999,1233,355,129
Alaska,ALASKA GATEWAY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,13520,2116,11351,53,13482,13187,6934,5571,682,0,295
Alaska,ALEUTIAN REGION SCHOOL DISTRICT,2015,2128,124,1913,91,2003,1948,875,1038,35,0,55
Alaska,KUSPUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,13363,3161,9762,440,13369,12746,6611,5524,611,0,623
Alaska,YUPIIT SCHOOLS,2015,15986,6162,9431,393,16137,16095,7248,7565,1282,0,42
Alaska,SOUTHWEST REGION SCHOOLS,2015,27065,2401,24091,573,32983,22190,8297,12675,1218,0,10793
Alaska,SOUTHEAST ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,9407,894,8192,321,9767,9201,4577,4327,297,20,546
Alaska,BERING STRAIT REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,74297,26572,45042,2683,75510,70593,42950,24262,3381,0,4917
Alaska,CHATHAM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,5473,609,4776,88,5502,5290,2572,2544,174,0,212
Alaska,LOWER KUSKOKWIM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,164937,43063,119358,2516,177432,141515,64138,71168,6209,369,35548
Alaska,DELTA-GREELY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,15872,1418,14327,127,15160,14906,8226,6285,395,0,254
Alaska,CHUGACH REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,7624,2216,4465,943,7819,6754,4900,1782,72,0,1065
Alaska,COPPER RIVER REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,10083,1039,8961,83,9833,9638,5045,4388,205,0,195
Alaska,LOWER YUKON REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,74549,23683,49892,974,76370,66078,32014,28720,5344,4,10288
Alaska,KASHUNAMIUT SCHOOL DISTRICT,2015,10761,4995,5313,453,10841,10445,4667,4968,810,302,94
Alaska,IDITAROD REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,9326,983,8077,266,9542,9178,4589,4305,284,39,325
Alaska,YUKON FLATS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,11365,1729,9469,167,13060,12700,5033,7265,402,0,360
Alaska,YUKON-KOYUKUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,22608,3329,18473,806,25041,24266,13580,10075,611,0,775
Alaska,ANNETTE ISLAND REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,13950,6989,6802,159,12742,9810,6406,2936,468,0,2932
Alaska,PRIBILOF ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2015,3899,1096,2190,613,3607,3145,1572,1554,19,297,165
Alaska,BRISTOL BAY BOROUGH SCHOOL DISTRICT,2015,4745,277,2906,1562,4748,4655,2032,2389,234,0,93
Alaska,FAIRBANKS N STAR BOROUGH SCHOOL DISTRICT,2015,287828,33536,199315,54977,278318,273446,158665,108944,5837,0,1556
Alaska,HAINES BOROUGH SCHOOL DISTRICT,2015,7670,427,5324,1919,6821,6357,4086,2016,255,111,306
Alaska,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,2015,186071,8624,131694,45753,185891,182035,108693,68923,4419,39,3102
